Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max),Key Generation [bytes],Encapsulation [bytes],Decapsulation [bytes],nan,nan,nan,nan,nan,nan,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],nan_size,nan_size,nan_size,nan_size,nan_size,Total_Cycles,Max_RAM,Flash,Security_Level,EAS_Class 0,EAS_Class 1,EAS_Class 2
aimer192f,ref,1397040,1397040,1397041,81884026,81883991,81884035,76458825,76456517,76460984,53.5,39.8,40.5,,,,,,,24956,0,0,24956,,,,,,159739891.0,24956.0,24956.0,3,0.0,0.0,1.061
aimer192s,m4speed,1192756,1192756,1192758,763112898,763110056,763113314,617799254,617799226,617799272,19184,349788,60384,,,,,,,24256,0,0,24256,,,,,,1382104908.0,349788.0,24256.0,3,0.0,0.0,0.0
aimer192s,m4speed,1192756,1192756,1192758,763112898,763110056,763113314,617799254,617799226,617799272,62.3,43.4,41.7,,,,,,,24256,0,0,24256,,,,,,1382104908.0,24256.0,24256.0,3,0.0,0.0,1.062
aimer192s,m4stack,1192756,1192756,1192756,904630579,904630192,904631379,617834636,617834607,617834652,19184,43220,60384,,,,,,,23860,0,0,23860,,,,,,1523657971.0,60384.0,23860.0,3,0.0,0.0,0.0
aimer192s,m4stack,1192756,1192756,1192756,904630579,904630192,904631379,617834636,617834607,617834652,62.3,58.9,41.7,,,,,,,23860,0,0,23860,,,,,,1523657971.0,23860.0,23860.0,3,0.0,0.0,1.065
aimer192s,mem_opt,1397047,1397039,1397079,916637185,916637133,916637425,629249382,629249345,629249415,19192,43220,60384,,,,,,,25288,0,0,25288,,,,,,1547283614.0,60384.0,25288.0,3,0.0,0.0,0.0
aimer192s,mem_opt,1397047,1397039,1397079,916637185,916637133,916637425,629249382,629249345,629249415,53.5,58.1,40.9,,,,,,,25288,0,0,25288,,,,,,1547283614.0,25288.0,25288.0,3,0.0,0.0,1.055
aimer256f,m4speed,2899948,2899948,2899949,160891483,160891455,160891501,166071755,166068640,166073951,50032,573176,78608,,,,,,,25596,0,0,25596,,,,,,329863186.0,573176.0,25596.0,5,0.0,0.0,0.0
aimer256f,m4speed,2899948,2899948,2899949,160891483,160891455,160891501,166071755,166068640,166073951,67.7,28.6,27.8,,,,,,,25596,0,0,25596,,,,,,329863186.0,25596.0,25596.0,5,0.0,0.0,1.255
aimer256f,m4stack,2899950,2899947,2899985,228360437,228359438,228362262,166042220,166040702,166043056,50032,77056,78568,,,,,,,26096,0,0,26096,,,,,,397302607.0,78568.0,26096.0,5,0.0,0.0,0.0
aimer256f,m4stack,2899950,2899947,2899985,228360437,228359438,228362262,166042220,166040702,166043056,67.7,41.5,27.8,,,,,,,26096,0,0,26096,,,,,,397302607.0,26096.0,26096.0,5,0.0,0.0,1.251
